O	5717
M	4727
C	8606
B	8586
L	9318
A	3492
R	6822
F	688
U	1804
W	5225
P	1443
S	3094
C	2727
V	5645
E	6593
K	7321
Y	1341
M	3561
K	2026
N	8095
E	2936
F	7997
K	8188
N	4619
V	5787
U	9966
C	8128
Q	108
M	1119
P	6011
A	2552
P	9189
A	7003
U	1838
H	652
W	3657
P	1370
L	6357
H	9548
U	3574
X	5677
H	7646
M	8188
Z	5639
F	4341
K	6105
I	5057
X	8191
R	7762
R	6925
B	3463
M	6460
B	7551
T	1511
J	6739
H	6521
K	1706
U	6530
S	1192
N	7740
I	8763
J	6780
V	5855
R	1476
A	4709
O	5894
R	9486
F	5034
X	7801
G	5164
C	5560
D	6081
D	5609
G	225
I	2576
E	3851
W	8147
X	9395
E	6587
C	2004
J	2557
N	4485
V	7735
C	876
X	519
Y	7300
J	1347
A	5357
H	7949
Z	4746
G	3092
P	8103
O	7799
M	9102
A	4563
X	5937
U	5968
L	6028
W	9522
W	8972
D	5366
P	5188
M	2304
X	443
E	4237
R	129
O	5905
D	8345
U	62
D	3957
S	8724
W	667
R	6510
B	3639
H	9189
B	2302
B	5042
A	8856
E	3779
K	5585
K	3470
L	8359
B	4545
Z	3011
K	5719
W	7974
H	8668
R	4174
G	117
W	1029
R	755
Y	8527
Q	5926
O	8603
O	5904
X	7781
O	3263
D	5180
M	2074
L	7291
X	7861
Q	6320
I	1995
E	1346
T	2929
M	5086
V	5272
S	8227
J	1358
K	3899
D	9008
U	931
I	8131
Y	7771
T	8445
B	7721
I	2511
B	5196
N	5166
T	9809
J	1162
F	422
P	2905
T	7422
N	7610
A	5892
L	2270
S	3226
M	7782
P	5130
B	8591
T	279
F	5954
K	3433
K	7949
K	9531
E	8794
L	791
U	3229
O	4301
H	1355
I	840
S	9711
W	5142
L	6570
M	2706
P	4076
H	8679
W	9446
K	5844
O	9151
V	3159
V	1119
C	7833
J	6332
K	9298
O	1361
Y	5919
P	5115
P	6289
G	9982
W	9644
B	8900
O	4490
T	8319
Y	7646
N	4286
P	6408
B	5730
T	8984
E	3951
H	7616
C	4699
O	2815
O	8508
Y	3804
D	1280
J	2179
G	3649
O	5321
H	7195
S	6035
Q	7048
Z	7072
G	2789
E	690
Q	4387
V	7569
X	9948
Y	8869
G	1360
G	6513
N	1336
S	9734
V	9209
G	6735
Y	4663
E	2960
J	5001
E	2607
G	3409
Y	7646
R	2262
Y	4149
U	7214
T	1898
N	8527
C	5548
Z	9208
K	4169
D	8561
I	7888
P	9841
U	5390
Q	2036
D	8677
Z	4215
M	3059
O	6908
N	17
G	4733
S	569
C	5637
E	6840
J	8078
T	2788
M	8744
E	8195
L	8355
O	9326
V	3537
F	9126
C	8485
N	8041
A	5452
O	8290
L	5178
H	1112
Z	1884
O	4604
S	4810
G	3596
Y	6325
E	6802
D	3334
R	5919
K	6244
E	2465
K	8775
W	7153
O	3181
P	7586
S	5579
L	28
D	6338
I	7410
X	9959
M	8903
O	6771
Z	6941
N	4549
G	8272
H	1407
O	2808
U	3276
Z	7715
X	5479
Z	7715
R	3373
P	2695
Q	2947
L	9012
D	2980
G	8429
B	3832
F	3693
X	5951
D	8660
Y	842
A	8891
X	8928
S	220
B	3464
L	8488
D	9462
N	3303
S	9787
T	2874
U	2527
Q	6416
M	2572
